ID,Predictions
175,[ 0.          0.3353799   0.69458111]
176,[ 0.          1.0922901   0.54960795]
177,[ 0.          0.59435632  0.54960795]
178,[ 0.          0.31014158  0.37010382]
179,[ 0.          0.21719663  0.17280802]
180,[ 0.          0.48178143  0.75174265]
181,[ 0.          0.76090334  0.75174265]
182,[ 0.          0.76948174  0.41801714]
183,[ 0.          0.48839827  0.64982721]
184,[ 0.          0.42724266  0.37074532]
185,[ 0.          0.05960436  0.60908305]
186,[ 0.          0.42724266  0.37074532]
187,[ 0.          1.14745549  0.9883429 ]
188,[ 0.          1.77278691  0.3759172 ]
189,[ 0.          0.01669441  0.26993037]
190,[ 0.          1.06288009  1.1950212 ]
191,[ 0.          0.31014158  0.37010382]
192,[ 0.          0.07184422  0.13194741]
193,[ 0.          0.91535969  0.36197876]
194,[ 0.          0.55016907  0.61863275]
195,[ 0.          0.82111614  0.25957647]
196,[ 0.          0.81091577  0.51828073]
197,[ 0.          1.786596    0.43474578]
198,[ 0.          0.62893688  0.9883429 ]
199,[ 0.          0.00511251  0.00659379]
200,[ 0.          0.6787808   1.36247049]
201,[ 0.          1.56027007  2.88299994]
202,[ 0.          0.07184422  0.13194741]
203,[ 0.          0.07184422  0.13194741]
204,[ 0.          0.35954942  0.64982721]
205,[ 0.          0.55632791  0.47465652]
206,[ 0.          0.53464259  0.60908305]
207,[ 0.          0.42724266  0.54898302]
208,[ 0.          0.00511251  0.00659379]
209,[ 0.          0.00511251  0.00659379]
210,[ 0.          0.89971762  0.6697209 ]
211,[ 0.          1.51089479  0.8686082 ]
212,[ 0.          1.56988764  1.20766832]
213,[ 0.          0.82111614  0.3759172 ]
214,[ 0.          0.41825299  0.54960795]
215,[ 0.          0.00511251  0.00659379]
216,[ 0.          1.195348    0.57198154]
217,[ 0.          0.48839827  0.08260992]
218,[ 0.          0.05960436  0.14764685]
219,[ 0.          0.48839827  0.54960795]
220,[ 0.          1.56988764  1.20766832]
221,[ 0.          0.96015968  0.86332782]
222,[ 0.          0.00511251  0.00659379]
223,[ 0.          0.27228221  0.10701652]
224,[ 0.          0.33315443  0.29485374]
225,[ 0.          0.065961    0.02430894]
226,[ 0.          0.27228221  0.60908305]
227,[ 0.          0.00511251  0.00659379]
228,[ 0.          1.750337    1.26244669]
229,[ 0.          0.48839827  0.54960795]
230,[ 0.          0.76090334  0.75174265]
231,[ 0.          0.84231521  1.74151539]
232,[ 0.          1.06288009  0.9883429 ]
233,[ 0.          0.71467563  0.91647702]
234,[ 0.          0.00227841  0.00243446]
235,[ 0.          0.05960436  0.10701652]
236,[ 0.          0.05960436  0.02430894]
237,[ 0.          0.94984196  0.24017717]
238,[ 0.          0.5534399   0.58310468]
239,[ 0.          0.57241387  1.19492207]
240,[ 0.          0.00511251  0.00659379]
241,[ 0.          0.4428871   0.50741254]
242,[ 0.          0.01669441  0.02816371]
243,[ 0.          0.76090334  0.75174265]
244,[ 0.          0.00511251  0.00659379]
245,[ 0.          0.44533929  3.117695  ]
246,[ 0.          2.85318952  1.64182116]
247,[ 0.          1.09481888  0.94357341]
248,[ 0.          0.76341053  0.3966909 ]
249,[ 0.          0.31014158  0.37010382]
250,[ 0.          0.96015968  0.86332782]
251,[ 0.          0.6692647   0.36197876]
252,[ 0.          0.61502536  0.85020026]
253,[ 0.          0.00227841  0.00659379]
254,[ 0.          0.65323074  1.68640914]
255,[ 0.          1.750337    1.31205977]
256,[ 0.          0.48839827  0.3966909 ]
257,[ 0.          1.56988764  1.74151539]
258,[ 0.          0.00511251  0.00659379]
259,[ 0.          0.31014158  0.08944038]
260,[ 0.          0.72029789  1.46893146]
261,[ 0.          0.05960436  0.10701652]
262,[ 0.          0.96015968  0.6697209 ]
263,[ 0.          0.42724266  0.54266446]
264,[ 0.          0.00511251  0.00659379]
265,[ 0.          0.01669441  0.02816371]
266,[ 0.          0.48839827  0.08260992]
267,[ 0.          1.11270951  0.63143373]
268,[ 0.          0.72029789  0.54898302]
269,[ 0.          0.00511251  0.00659379]
270,[ 0.          0.00511251  0.00659379]
271,[ 0.          0.77743692  0.39834067]
272,[ 0.          0.3353799   0.69458111]
273,[ 0.          0.065961    0.14764685]
274,[ 0.          0.74945079  0.54347104]
275,[ 0.          0.3353799   0.24017717]
276,[ 0.          1.23170914  0.91647702]
277,[ 0.          0.00511251  0.00659379]
278,[ 0.          0.065961    0.14764685]
279,[ 0.          0.62893688  0.9883429 ]
280,[ 0.          0.00511251  0.00659379]
281,[ 0.          0.00511251  0.00659379]
282,[ 0.          0.01854194  0.07658926]
283,[ 0.          1.22567454  1.4077139 ]
284,[ 0.          0.53464259  0.60908305]
285,[ 0.          0.96015968  0.86332782]
286,[ 0.          0.00511251  0.00659379]
287,[ 0.         1.6451626  1.6929264]
288,[ 0.          0.21719663  0.39834067]
289,[ 0.          0.00511251  0.02816371]
290,[ 0.          1.29644004  0.61863275]
291,[ 0.          0.72029789  1.31205977]
292,[ 0.          0.89971762  0.50741254]
293,[ 0.          0.45530497  0.39834067]
294,[ 0.          0.00511251  0.00659379]
295,[ 0.          0.62893688  0.9883429 ]
296,[ 0.          2.60753332  0.9883429 ]
297,[ 0.          0.00227841  0.00897905]
298,[ 0.          0.05225468  0.13147238]
299,[ 0.          0.57241387  0.26921641]
300,[ 0.          0.76090334  0.75174265]
301,[ 0.          0.48178143  0.75174265]
302,[ 0.          0.57241387  1.19492207]
303,[ 0.          0.51244585  0.72616921]
304,[ 0.          1.56988764  1.74151539]
305,[ 0.          0.48178143  0.49752981]
306,[ 0.          0.96015968  0.91955491]
307,[ 0.          0.57241387  1.17576739]
308,[ 0.          0.40788542  0.37010382]
309,[ 0.          0.31837225  0.60908305]
310,[ 0.          1.89706967  2.65697276]
311,[ 0.          1.20858193  0.78715958]
312,[ 0.          0.76090334  0.75174265]
313,[ 0.          1.29644004  1.20766832]
314,[ 0.          0.62893688  0.9883429 ]
315,[ 0.          0.66344017  0.69458111]
316,[ 0.          3.2061636   1.74151539]
317,[ 0.          1.06288009  1.42538313]
318,[ 0.          0.00511251  0.00659379]
319,[ 0.          2.4696454   2.33455604]
320,[ 0.          0.42772118  0.26989434]
321,[ 0.          0.33207525  0.36197876]
322,[ 0.          0.05960436  0.02430894]
323,[ 0.          0.88543661  1.06759179]
324,[ 0.          1.68390898  1.56630741]
325,[ 0.          0.15597233  0.3759172 ]
326,[ 0.          0.55632791  0.23746382]
327,[ 0.          0.10539858  0.13194741]
328,[ 0.          0.89971762  0.91213706]
329,[ 0.          0.55016907  0.8801059 ]
330,[ 0.          2.22025746  0.91213706]
331,[ 0.          0.00511251  0.00659379]
332,[ 0.          0.08749942  0.30021028]
333,[ 0.          0.00227841  0.00243446]
334,[ 0.          0.02146903  0.08224189]
335,[ 0.          0.49555394  0.75174265]
336,[ 0.          1.56988764  1.42538313]
337,[ 0.          0.77743692  0.49752981]
338,[ 0.          1.84917218  0.77628001]
339,[ 0.          1.20858193  1.19492207]
340,[ 0.          0.01403034  0.00659379]
341,[ 0.          0.27228221  0.14764685]
342,[ 0.          0.61578064  1.53486271]
343,[ 0.          0.72791376  0.6697209 ]
344,[ 0.          1.6451626   1.64182116]
345,[ 0.          0.61502536  0.49928211]
346,[ 0.          0.88543661  1.06759179]
347,[ 0.          0.84447009  0.49928211]
348,[ 0.          0.05960436  0.0173211 ]
349,[ 0.          0.00511251  0.00659379]
350,[ 0.          1.29644004  1.68405977]
351,[ 0.          1.09481888  1.40169615]
352,[ 0.          0.48178143  0.49752981]
353,[ 0.          0.14568121  0.36807449]
354,[ 0.          1.56988764  1.42538313]
355,[ 0.          0.48178143  0.75174265]
356,[ 0.          0.05960436  0.26989434]
357,[ 0.          0.61502536  0.49928211]
358,[ 0.          1.00367562  1.29449497]
359,[ 0.          0.00511251  0.00659379]
360,[ 0.          0.62893688  0.9883429 ]
361,[ 0.          0.71220566  0.39834067]
362,[ 0.          0.81091577  0.51828073]
363,[ 0.          0.81091577  2.3819445 ]
364,[ 0.          0.15559844  0.08260992]
365,[ 0.          1.80041755  0.8686082 ]
366,[ 0.          0.76090334  0.75174265]
367,[ 0.          0.00511251  0.00659379]
368,[ 0.          0.05225468  0.06804957]
369,[ 0.          0.31014158  0.37010382]
370,[ 0.          0.45530497  0.39834067]
371,[ 0.          0.00511251  0.00659379]
372,[ 0.          0.4428871   0.23746382]
373,[ 0.          0.89971762  0.91213706]
374,[ 0.          0.3992092   0.54347104]
375,[ 0.          0.76090334  0.75174265]
376,[ 0.          1.23170914  0.91647702]
377,[ 0.          0.15597233  0.24017717]
378,[ 0.          1.56988764  1.4077139 ]
379,[ 0.          1.29644004  1.68405977]
380,[ 0.          0.31014158  1.305526  ]
381,[ 0.          0.05225468  0.0173211 ]
382,[ 0.          0.00511251  0.00659379]
383,[ 0.          0.61502536  0.75174265]
384,[ 0.          0.00227841  0.00243446]
385,[ 0.          0.40788542  0.37010382]
386,[ 0.          1.62517032  2.56816813]
387,[ 0.          0.30334352  0.07658926]
388,[ 0.          0.53464259  0.60908305]
389,[ 0.          2.60753332  1.42538313]
390,[ 0.          0.00511251  0.00659379]
391,[ 0.          0.00511251  0.00659379]
392,[ 0.          0.22828497  0.40721954]
393,[ 0.          0.31014158  0.26621573]
394,[ 0.          1.56988764  1.46908896]
395,[ 0.          0.00511251  0.00659379]
396,[ 0.          0.42724266  0.23288849]
397,[ 0.          0.48178143  0.75174265]
398,[ 0.          0.48178143  0.49752981]
399,[ 0.          0.45276305  0.53392222]
400,[ 0.          0.82111614  0.93422375]
401,[ 0.          0.23758071  0.28413247]
402,[ 0.          1.29644004  3.3903485 ]
403,[ 0.          0.81872248  0.80149281]
404,[ 0.          0.00511251  0.00659379]
405,[ 0.          1.78929729  1.0384397 ]
406,[ 0.          0.3992092   0.54347104]
407,[ 0.          0.44113302  0.36807449]
408,[ 0.          1.56027007  2.1924169 ]
409,[ 0.          1.56988764  0.78244553]
410,[ 0.          0.00511251  0.00659379]
411,[ 0.          1.14745549  5.002253  ]
412,[ 0.          1.6451626   2.09000994]
413,[ 0.          0.31014158  0.37010382]
414,[ 0.          0.00511251  0.00659379]
415,[ 0.          0.89971762  0.91213706]
416,[ 0.          0.00511251  0.00659379]
417,[ 0.          0.84447009  0.3966909 ]
418,[ 0.          0.45530497  0.39834067]
419,[ 0.          0.22828497  0.23288849]
420,[ 0.          0.51244585  1.7366068 ]
421,[ 0.          1.06288009  0.9883429 ]
422,[ 0.          1.49780745  1.0384397 ]
423,[ 0.          1.36261901  0.53608778]
424,[ 0.          1.6451626   0.28296218]
425,[ 0.          0.82111614  0.93422375]
426,[ 0.          0.00511251  0.00659379]
427,[ 0.          0.00511251  0.00659379]
428,[ 0.          1.89706967  1.88810618]
429,[ 0.          0.05960436  0.02430894]
430,[ 0.          0.00511251  0.00659379]
431,[ 0.          0.59145468  0.23288849]
432,[ 0.          0.01854194  0.00587743]
433,[ 0.          0.24602108  0.38405821]
434,[ 0.          0.24505402  0.26989434]
435,[ 0.          0.7968563   0.51828073]
436,[ 0.          0.48178143  0.75174265]
437,[ 0.          1.09481888  1.06759179]
438,[ 0.          0.54593537  0.36079817]
439,[ 0.          0.31792619  0.23671154]
440,[ 0.          0.76090334  1.06759179]
441,[ 0.          0.00511251  0.00659379]
442,[ 0.          0.01132417  0.00897905]
443,[ 0.          0.01854194  0.40721954]
444,[ 0.         1.242157   1.4077139]
445,[ 0.          0.00511251  0.00659379]
446,[ 0.          0.42724266  0.54266446]
447,[ 0.          0.00511251  0.00659379]
448,[ 0.          0.2509616   1.06393738]
449,[ 0.          0.27228221  0.52123906]
450,[ 0.          0.27228221  0.14764685]
451,[ 0.          0.00511251  0.00659379]
452,[ 0.          0.72988066  0.79625916]
453,[ 0.          0.00511251  0.00659379]
454,[ 0.          0.55632791  0.23746382]
455,[ 0.          0.27228221  0.52123906]
456,[ 0.          0.00511251  0.00659379]
457,[ 0.          1.06288009  0.9883429 ]
458,[ 0.          0.57767278  1.29449497]
459,[ 0.          0.27228221  0.25957647]
460,[ 0.          0.59435632  0.54960795]
461,[ 0.          0.87684299  0.6918912 ]
462,[ 0.          0.66695475  1.28968762]
463,[ 0.          0.66344017  0.69458111]
464,[ 0.          0.4428871   0.52123906]
465,[ 0.          0.89971762  0.91213706]
466,[ 0.          0.45530497  0.39834067]
467,[ 0.          0.1709478   0.25630672]
468,[ 0.          0.77743692  0.71663485]
469,[ 0.          0.48839827  0.75174265]
470,[ 0.          1.07451247  1.6929264 ]
471,[ 0.          1.09481888  0.75174265]
472,[ 0.          0.48839827  0.45613646]
473,[ 0.          0.59435632  2.02895536]
474,[ 0.          0.76090334  0.75174265]
475,[ 0.          0.4428871   0.52123906]
476,[ 0.          1.07827356  2.63069471]
477,[ 0.          1.89706967  1.26244669]
478,[ 0.          0.55632791  0.80149281]
479,[ 0.          0.31014158  0.37010382]
480,[ 0.          0.89971762  0.75174265]
481,[ 0.          1.29644004  1.42538313]
482,[ 0.          0.00511251  0.00659379]
483,[ 0.          1.00367562  0.91647702]
484,[ 0.          0.61502536  0.94357341]
485,[ 0.          0.00511251  0.00659379]
486,[ 0.          0.66695475  0.01142433]
487,[ 0.          0.48178143  0.49752981]
488,[ 0.          0.96015968  0.6697209 ]
489,[ 0.          0.05960436  0.10701652]
490,[ 0.          1.29644004  1.42538313]
491,[ 0.          1.22567454  0.61863275]
492,[ 0.         0.065961   0.0173211]
493,[ 0.          0.34979162  0.06804957]
494,[ 0.          0.89971762  0.49752981]
495,[ 0.          0.27228221  0.3966909 ]
496,[ 0.          2.60753332  1.62321802]
497,[ 0.          1.14745549  1.26244669]
498,[ 0.          0.15597233  0.53608778]
499,[ 0.          0.89971762  0.75174265]
500,[ 0.          0.76090334  0.75174265]
501,[ 0.          0.00511251  0.00659379]
502,[ 0.          0.34979162  0.43474578]
503,[ 0.          0.53464259  0.25957647]
504,[ 0.          0.01132417  0.00897905]
505,[ 0.         2.8948733  1.6929264]
506,[ 0.          0.065961    0.14764685]
507,[ 0.          0.15597233  0.3759172 ]
508,[ 0.          0.66792166  1.07174361]
509,[ 0.          0.81091577  0.93422375]
510,[ 0.          0.57241387  0.78715958]
511,[ 0.          0.40788542  0.29485374]
512,[ 0.          0.89971762  0.49752981]
513,[ 0.          0.40788542  0.37010382]
514,[ 0.          0.76090334  0.75174265]
515,[ 0.          0.45530497  0.39834067]
516,[ 0.          1.29644004  1.74151539]
517,[ 0.          0.61502536  0.54960795]
518,[ 0.          0.57767278  0.95139791]
519,[ 0.          0.00511251  0.00659379]
520,[ 0.          1.67985687  2.1924169 ]
521,[ 0.          0.24505402  0.47465652]
522,[ 0.          0.05960436  0.0173211 ]
523,[ 0.          0.21719663  0.49752981]
524,[ 0.          0.15559844  0.30021028]
525,[ 0.          1.56988764  3.742342  ]
526,[ 0.          0.81872248  0.80149281]
527,[ 0.          0.4428871   0.52123906]
528,[ 0.          1.56988764  1.20766832]
529,[ 0.          0.03647286  0.        ]
530,[ 0.          0.32101684  0.39834067]
531,[ 0.          0.3353799   0.69458111]
532,[ 0.          1.29644004  1.20766832]
533,[ 0.          0.00511251  0.00659379]
534,[ 0.          0.62893688  1.20766832]
535,[ 0.          1.242157    1.91639178]
536,[ 0.          1.14745549  1.46893146]
537,[ 0.          1.22567454  1.20766832]
538,[ 0.          0.00511251  0.00659379]
539,[ 0.          0.01669441  0.02816371]
540,[ 0.          0.7968563   0.53608778]
541,[ 0.          0.4646683   0.36197876]
542,[ 0.          0.4428871   0.52123906]
543,[ 0.          2.92046742  1.07174361]
544,[ 0.          0.89971762  0.6697209 ]
545,[ 0.          0.10539858  0.02816371]
546,[ 0.          0.00511251  0.00659379]
547,[ 0.          0.00227841  0.00243446]
548,[ 0.          0.48178143  0.75174265]
549,[ 0.          2.47272825  1.19492207]
550,[ 0.          0.65912123  0.36807449]
551,[ 0.          2.85318952  2.79705309]
552,[ 0.          1.06908192  1.29928341]
553,[ 0.          1.95618004  0.9883429 ]
554,[ 0.          0.76341053  0.54960795]
555,[ 0.          1.89706967  1.46893146]
556,[ 0.          1.06288009  0.9883429 ]
557,[ 0.          0.51244585  0.57284296]
558,[ 0.          0.00511251  0.00659379]
559,[ 0.          0.01854194  0.51828073]
560,[ 0.          0.00511251  0.00659379]
561,[ 0.          0.35954942  0.08260992]
562,[ 0.          0.40788542  0.03426411]
563,[ 0.          0.01132417  0.00897905]
564,[ 0.          0.00511251  0.00659379]
565,[ 0.          0.00511251  0.00659379]
566,[ 0.          0.00511251  0.00659379]
567,[ 0.          0.02146903  0.0173211 ]
568,[ 0.          1.51089479  1.257011  ]
569,[ 0.          0.89971762  0.91213706]
570,[ 0.          0.05960436  0.10701652]
571,[ 0.          0.84231521  0.62938266]
572,[ 0.          0.4428871   0.23746382]
573,[ 0.          0.00227841  0.00243446]
574,[ 0.          0.1709478   0.25630672]
575,[ 0.          1.56988764  1.74151539]
576,[ 0.          1.38294188  2.27578308]
577,[ 0.          0.66545075  0.53392222]
578,[ 0.          1.7486182   2.48650325]
579,[ 0.          0.00511251  0.00659379]
580,[ 0.          0.34815495  0.71663485]
581,[ 0.          0.28419516  0.25630672]
582,[ 0.          0.00511251  0.00659379]
583,[ 0.         0.5945485  0.5945485]
584,[ 0.          1.62982216  1.74151539]
585,[ 0.          0.53464259  0.75174265]
586,[ 0.          2.54339534  2.746693  ]
587,[ 0.          0.96015968  0.86332782]
588,[ 0.          0.24505402  0.26989434]
589,[ 0.          0.05960436  0.52123906]
590,[ 0.          2.26054476  0.94040298]
591,[ 0.          0.54593537  0.36079817]
592,[ 0.          0.03401232  0.00659379]
593,[ 0.          1.22567454  1.20766832]
594,[ 0.          1.22567454  1.4077139 ]
595,[ 0.          0.51244585  0.8686082 ]
596,[ 0.          0.00227841  0.00243446]
597,[ 0.          1.23170914  1.22335787]
598,[ 0.          0.72791376  0.75174265]
599,[ 0.          0.07184422  0.13194741]
600,[ 0.          0.00511251  0.00659379]
601,[ 0.          0.01854194  0.06804957]
602,[ 0.          0.48839827  0.08260992]
603,[ 0.          0.21112275  0.0464278 ]
604,[ 0.          0.48178143  0.49752981]
605,[ 0.          0.00227841  0.00243446]
606,[ 0.          0.00511251  0.00659379]
607,[ 0.          1.06908192  0.61863275]
608,[ 0.          0.89971762  0.91213706]
609,[ 0.          0.95027228  0.53608778]
610,[ 0.          0.00511251  0.00659379]
611,[ 0.          1.29644004  1.74151539]
612,[ 0.          0.27228221  0.14764685]
613,[ 0.          0.40788542  0.64001286]
614,[ 0.          1.06288009  0.9883429 ]
615,[ 0.          1.53302443  0.91213706]
616,[ 0.          0.82111614  1.29449497]
617,[ 0.          0.81091577  0.51828073]
618,[ 0.          0.76090334  0.75174265]
619,[ 0.          0.06544476  0.39834067]
620,[ 0.          0.00511251  0.00659379]
621,[ 0.          0.88543661  0.75174265]
622,[ 0.          0.01669441  0.02816371]
623,[ 0.         1.5884596  1.691534 ]
624,[ 0.          0.00227841  0.00243446]
625,[ 0.          0.91535969  0.54960795]
626,[ 0.          0.1709478   0.25630672]
627,[ 0.          0.00511251  0.00659379]
628,[ 0.          3.531746    3.23721619]
629,[ 0.          0.00511251  0.00659379]
630,[ 0.          0.34815495  0.06804957]
631,[ 0.          0.57241387  0.78715958]
632,[ 0.          1.29644004  1.20766832]
633,[ 0.          0.74248514  0.57284296]
634,[ 0.          0.7968563   1.29449497]
635,[ 0.          0.89971762  0.91213706]
636,[ 0.          0.3992092   0.54347104]
637,[ 0.          0.00511251  0.00659379]
638,[ 0.          0.00511251  0.00659379]
639,[ 0.          0.60641729  0.91647702]
640,[ 0.          0.15597233  0.24017717]
641,[ 0.          0.3387321   0.58958356]
642,[ 0.          0.03401232  0.00659379]
643,[ 0.          0.00511251  0.00659379]
644,[ 0.          1.09022511  0.57198154]
645,[ 0.          0.96015968  0.94357341]
646,[ 0.          1.22794452  0.94040298]
647,[ 0.          0.15597233  0.3759172 ]
648,[ 0.          0.00511251  0.00659379]
649,[ 0.         1.4698655  1.4047483]
650,[ 0.          1.448901    0.25957647]
651,[ 0.          0.65323074  0.43474578]
652,[ 0.          0.48178143  0.75174265]
653,[ 0.          0.00511251  0.00659379]
654,[ 0.          1.29644004  1.20766832]
655,[ 0.          1.01598438  0.91647702]
656,[ 0.          0.45530497  0.39834067]
657,[ 0.          0.00511251  0.00659379]
658,[ 0.          0.45530497  0.39834067]
659,[ 0.          0.96685743  0.49928211]
